Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Collins, S.A., G.J. Giffin, and W.T. Strong",2019,Using flight initiation distance to evaluate responses of colonial-nesting Great Egrets to the approach of an unmanned aerial vehicle,Journal of Field Ornithology,,Birds,Ardeidae,"great egret, Ardea alba","disturbance, flight initiation distance, nesting, Louisiana","Collins, S.A., G.J. Giffin, and W.T. Strong. 2019. Using flight initiation distance to evaluate responses of colonial-nesting great egrets to the approach of an unmanned aerial vehicle. Journal of Field Ornithology 90: 382-390.",Quadcopter,DJI Phantom 3 Advanced,12-MP camera,
"Colombelli-Négrel, D., I.Z. Sach, I. Hough, J.C. Hodgson, C.B. Daniels, and S. Kleindorfer",2023,Koalas showed limited behavioural response and no physiological response to drones,Applied Animal Behaviour Science,,Mammals,Phascolarctidae,"koala, Phascolarctos cinereus","disturbance, behavior, physiology, Australia","Colombelli-Négrel, D., I.Z. Sach, I. Hough, J.C. Hodgson, C.B. Daniels, and S. Kleindorfer. 2023. Koalas showed limited behavioural response and no physiological response to drones. Applied Animal Behaviour Science https://doi.org/10.1016/j.applanim.2023.105963.",quadcopter,DJI Mavic 2 Pro,,x
"Colomina, I. and P. Molina",2014,Unmanned aerial systems for photogrammetry and remote sensing: A review,ISPRS Journal of Photogrammetry and Remote Sensing,,review,,,"review, regulations, sensors, applications,  ","Colomina, I. and P. Molina. 2014. Unmanned aerial systems for photogrammetry and remote sensing: A review. ISPRS Journal of Photogrammetry and Remote Sensing 92: 79-97.",,,,
"Commander, Naval Air Forces",2016,NATOPS General Flight and Operating Instructions Manual. CNAF M-3710.7. Chapter 14 - UAS Policies and Operations.,,,Regulations,,,"regulations, Department of Defense, military, waivers, certificate of authorization","Commander, Naval Air Forces. 2017. NATOPS General Flight and Operating Instructions Manual. CNAF M-3710.7. Chapter 14 - UAS Policies and Operations. July 15.",,,,
"Contreras, K., E.A. Ramos, F. Merchan, H. Poveda,
H.M. Guzman, and J.E. Sánchez-Galán",2022,Detection of Antillean Manatees in UAV Footage using Deep Convolutional Neural Networks,,LXCV Workshop at ECCV 2022,Marine mammals,Trichechidae,"Antillean manatee, Trichechus manatus manatus","species detection, Belize, Mexico",Poster: LatinX in Computer Vision (LXCV) Workshop at the European Conference on Computer Vision (ECCV) 2022.,,not provided,,
"Coops, N.C., T.R.H. Goodbody, and L. Cao",2019,Four steps to extend drone use in research,Nature,,review,,,review,"Coops, N.C., T.R.H. Goodbody, and L. Cao. 2019. Four steps to extend drone use in research. Nature 572:433-435.",,,,
"Corcoran, E., M. Winsen, A. Sudholz, and G. Hamilton",2021,"Automated detection of wildlife using drones: Synthesis, opportunities and constraints",Methods in Ecology and Evolution,,review,,,"review, machine learning, species detection","Corcoran, E., M. Winsen, A. Sudholz, and G. Hamilton. 2021. Automated detection of wildlife using drones: Synthesis, opportunities and constraints. Methods in Ecology and Evolution DOI: 10.1111/2041-210X.13581. ",,,,x
"Corcoran, E., S. Denman, and G. Hamilton",2021,Evaluating new technology for biodiversity monitoring: Are drone surveys biased?,Ecology and Evolution,,Mammals,Phascolarctidae,"koala, Phascolarctos cinereus","detection probability, ground vs aerial surveys, machine learning, survey design, Australia","Corcoran, E., S. Denman, and G. Hamilton. 2021. Evaluating new technology for biodiversity monitoring: Are drone surveys biased? Ecology and Evolution  https://doi.org/10.1002/ece3.7518.",hexacopter,Matrice 600 Pro,FLIR Tau 2 640,x
"Corcoran, E., S. Denman, and G. Hamilton",2019,Modelling wildlife species abundance using automated detections from drone surveillance,,23rd International Congress on Modeling and Simulation,Mammals,Phascolarctidae,"koala, Phascolarctos cinereus","machine learning, species detection","Corcoran, E., S. Denman, and G. Hamilton. 2019. Modelling wildlife species abundance using automated detections from drone surveillance. Pages 678-684 in S. Elsawah, ed. MODSIM2019, 23rd International Congress on Modeling and Simulation, Dec 1-6, 2019, Canberra, Australia. https://mssanz.org.au/modsim2019/.",Hexacopter,DJI Matrice 600 Pro,FLIR Tau 2 640 thermal camera,
"Corcoran, E., S. Denman, and G. Hamilton",2020,New technologies in the mix: Assessing N-mixture models for abundance estimation using automated detection data from drone surveys,Ecology and Evolution,,Mammals,Phascolarctidae,"koala, Phascolarctos cinereus","machine learning, species detection, thermal imaging, Australia","Corcoran, E., S. Denman, and G. Hamilton. 2020. New technologies in the mix: Assessing N-mixture models for abundance estimation using automated detection data from drone surveys. Ecology and Evolution 10: 8176-8185.",Hexacopter,Matrice 600 Pro,FLIR Tau 2 640 thermal camera,
"Corcoran, E., S. Denman, J. Hanger, B. Wilson, and G. Hamilton",2019,Automated detection of koalas using low-level aerial surveillance and machine learning,Scientific Reports,,Mammals,Phascolarctidae,"koala, Phascolarctos cinereus","population monitoring, Australia","Corcoran, E., S. Denman, J. Hanger, B. Wilson, and G. Hamilton. 2019. Automated detection of koalas using low-level aerial surveillance and machine learning. Scientific Reports 9:3208. https://doi.org/10.1038/s41598-019-39917-5.",Hexacopter,DJI Matrice 600 Pro,FLIR Tau 2 640 thermal camera,
"Corregidor-Castro, A. and R.G. Valle",2022,Semi-automated counts on drone imagery of breeding seabirds using free accessible software,,"IX Convegno dei Faunisti Veneti,  Mestre, Venezia",Birds,,,,"Corregidor-Castro, A. and R.G. Valle. 2022. Semi-automated counts on drone imagery of breeding seabirds using free accessible software. Poster. IX Convegno dei Faunisti Veneti, Mestre, Venezia, 8-9 April 2022.",,,,
"Corregidor-Castro, A. and R.G. Valle",2022,Semi-automated counts on drone imagery of breeding seabirds using free accessible software,Ardea,,Birds,Laridae,"Mediterranean gull, Ichthyateus melanocephalus","species identification, data analysis, manual vs computer count, best practices, Italy","Corregidor-Castro, A. and R.G. Valle. 2022. Semi-automated counts on drone imagery of breeding seabirds using free accessible software. Ardea 110: https://doi.org/10.5253/arde.v110i1.a7.",quadcopter,DJI Mavic Pro,16.84-MP RGB camera,x
"Corregidor-Castro, A., F. Scarton, L. Panzarini, E. Verza, and R.G. Valle",2022,"Faster and better: comparison between traditional and drone monitoring in a cryptic species, the Purple Heron Ardea purpurea",Acta Ornithologica,,,Ardeidae,"purple heron, Ardea purpurea","nest monitoring, disturbance, ground vs aerial surveys, Italy","Corregidor-Castro, A., F. Scarton, L. Panzarini, E. Verza, and R.G. Valle. 2022. Faster and better: comparison between traditional and drone monitoring in a cryptic species, the Purple Heron Ardea purpurea. Acta Ornithologica https://doi.org/10.3161/00016454AO2022.57.2.002.",,DJI Mavic Pro,,
"Corregidor-Castro, A., M. Riddervold, T.E. Holm, and T. Bregnballe",2022,Monitoring Colonies of Large Gulls Using UAVs: From Individuals to Breeding Pairs,Micromachines,,Birds,Laridae,"herring gull, Larus argentatus, lesser black-backed gull, Larus fuscus","nest census, nest monitoring, population estimate, ground vs aerial counts, disturbance, Denmark","Corregidor-Castro, A., m. Riddervold, T.E. Holm, and T. Bregnballe. 2022. Monitoring Colonies of Large Gulls Using UAVs: From Individuals to Breeding Pairs. Micromachines https://doi.org/10.3390/mi13111844.","a) fixed-wing
b) quadcopter","a) Event 38 model E384
b) DJI Phantom 4 Pro","a) Sony ILCE-QX1 camera
b) standard camera",
"Corregidor-Castro, A., T.E. Holm, and T. Bregnballe",2021,Counting breeding gulls with unmanned aerial vehicles: camera quality and flying height affects precision of a semi-automatic counting method,Ornis Fennica,,Birds,Laridae,"herring gull, Larus argentatus, lesser black-backed gull, Larus fuscus","nest census, nest monitoring, population estimate, flight parameters, disturbance, Denmark","Corregidor-Castro, A., T.E. Holm, and T. Bregnballe. 2021. Counting breeding gulls with unmanned aerial vehicles: camera quality and flying height affects precision of a semi-automatic counting method. Ornis Fennica 98:33-45.","a) fixed-wing
b-c) quadcopter","a) Event 38 model E384
b) DJI Matrice 210
c) DJI Phantom 4 Pro","a) Sony ILCE-QX1 camera
b) Zenmuse X5S camera & Zenmuse XT2 TIR camera
c) standard camera",
"Cosgrove, C.",2019,Advancing the Use of Airborne Laser Scanning in Habitat Research: A Case Study Modelling Marbled Murrelet Nesting Habitat in British Columbia,,Thesis,birds,Alcidae,"marbled murrelet, Brachyramphus marmoratus","habitat mapping, radiotracking, British Columbia","Cosgrove, C. 2023. Advancing the Use of Airborne Laser Scanning in Habitat Research: A Case Study Modelling Marbled Murrelet Nesting Habitat in British Columbia. MS Thesis, Forestry, University of British Columbia, Canada.",,,,
"Cossa, D., M. Cossa, I. Timba, J. Nhaca, A. Macia, and E. Infantes",2023,Drones and machine-learning for monitoring dugong feeding grounds and gillnet fishing,Marine Ecology Progress Series,,Marine mammals,Dugongidae,"dugong, Dugong dugon","human-wildlife conflict, behavior, Mozambique","Cossa, D., M. Cossa, I. Timba, J. Nhaca, A. Macia, and E. Infantes. 2023. Drones and machine-learning for monitoring dugong feeding grounds and gillnet fishing. Marine Ecology Progress Series https://doi.org/10.3354/meps14361.",quadcopter,DJI Phantom 4-Pro,RGB camera,
"Costa, H., A. Rogan, C. Zadra , O. Larsen, A.H. Rikardsen, and C. Waugh",2023,Blowing in the Wind: Using a Consumer Drone for the Collection of Humpback Whale (Megaptera novaeangliae) Blow Samples during the Arctic Polar Nights,Drones,,Marine mammals,Balaenopteridae,"humpback whale, Megaptera novaeangliae ","body condition, health, Norway","Costa, H., A. Rogan, C. Zadra , O. Larsen, A.H. Rikardsen, and C. Waugh. 2023. Blowing in the Wind: Using a Consumer Drone for the Collection of Humpback Whale (Megaptera novaeangliae) Blow Samples during the Arctic Polar Nights. Drones https://doi.org/10.3390/drones7010015.",quadcopter,DJI Mavic 2 Pro,,
"Costagliola-Ray, M.M., L. Lieber, W.A.M. Nimmo-Smith, E.A. Masden, P. Caplat, J. Wilson, and N.J. O’Hanlon",2022,To fly or not to fly? Comparing vantage point and uncrewed aerial vehicle surveys for assessments of seabird abundance and fine-scale distribution,Environmental Impact Assessment Review,,Birds,Laridae,tern species,"population estimate, Northern Ireland","Costagliola-Ray, M.M., L. Lieber, W.A.M. Nimmo-Smith, E.A. Masden, P. Caplat, J. Wilson, and N.J. O’Hanlon. 2022. To fly or not to fly? Comparing vantage point and uncrewed aerial vehicle surveys for assessments of seabird abundance and fine-scale distribution. Environmental Impact Assessment Review https://doi.org/10.1016/j.eiar.2022.106906.",quadcopter,"DJI Mavic Pro, DJI Phantom 3",,
"Costello, M.J., K.H. Beard, R.T. Corlett, G.S. Cumming, V. Devictor, R. Loyola, B. Maas, A.J. Miller-Rushing, R. Pakeman, and R.B. Primack",2016,Field work ethics in biological research,Biological Conservation,,review,,,review,"Costello, M.J., K.H. Beard, R.T. Corlett, G.S. Cumming, V. Devictor, R. Loyola, B. Maas, A.J. Miller-Rushing, R. Pakeman, and R.B. Primack. 2016. Field work ethics in biological research. Biological Conservation 203: 268–271.",,,,
Council of Managers of National Antarctic Programs,2018,Environmental Guidelines for operation of Remotely Piloted Aircraft Systems (RPAS) in Antarctica (v 1.1),,COMNAP,Regulations,,,"regulations, Antarctica",Council of Managers of National Antarctic Programs. 2018. Environmental Guidelines for operation of Remotely Piloted Aircraft Systems (RPAS) in Antarctica (v 1.1). Resolution 4 (2018) Annex. ,,,,
"Couturier, T., L. Gaillard, A. Vadier, E. Dautrey, J. Mathey, and A. Besnard",preprint,Airborne imagery does not preclude detectability issues in estimating bird colony size,,,birds,Ardeidae,"Malagasy pond heron, Ardeola idae","nest monitoring, disturbance, Mayotte","Couturier, T., L. Gaillard, A. Vadier, E. Dautrey, J. Mathey, and A. Besnard. Preprint. Airborne imagery does not preclude detectability issues in estimating bird colony size. https://doi.org/10.21203/rs.3.rs-3442596/v1.",quadcopter,DJI Mavic 2 Pro,20-MP L1D-20c camera,
"Cox, T.E., R. Matthews, G. Halverson, and S. Morris",2021,Hot stuff in the bushes: Thermal imagers and the detection of burrows in vegetated sites,Ecology and Evolution,,Mammals,Leporidae,"European rabbit, Oryctolagus cuniculus","species detection, invasive species, Australia","Cox, T.E., R. Matthews, G. Halverson, and S. Morris. 2021. Hot stuff in the bushes: Thermal imagers and the detection of burrows in vegetated sites. Ecology and Evolution DOI: 10.1002/ece3.7491.",quadcopter,DJI Inspire 1; DJI S1000+; DJI Matrice 600,FLIR Zenmuse XT 640; Jenoptik VarioCAM HD; Sierra-Olympic VayuHD,x
"Craig, K.",2017,"Using a UAV to monitor bald eagle (Haliaeetus leucocephalus) nests at Joint Base Elmendorf-Richardson, Alaska",,National Military Fish & Wildlife Association Annual Meeting and Training Workshop,Birds,Accipitridae,"bald eagle, Haliaeetus leucocephalus","ground vs aerial surveys, disturbance, Alaska","Craig, K. 2017. Using a UAV to monitor bald eagle (Haliaeetus leucocephalus) nests at Joint Base Elmendorf-Richardson, Alaska. Poster. National Military Fish & Wildlife Association Annual Meeting and Training Workshop, Spokane, WA, March 6-10, 2017.",quadcopter,DJI Phantom 3 Pro,12-MP camera,NA
"Cress, J., M. Hutt, J. Sloan, M. Bauer, M. Feller, and S. Goplen",2015,U.S. Geological Survey Unmanned Aircraft Systems (UAS) Roadmap 2014,,Open-File Report 2015-1032,Regulations,,,"review, platforms, sensors, agency operations, training, regulations, missions","Cress, J., M. Hutt, J. Sloan, M. Bauer, M. Feller, and S. Goplen. 2015. U.S. Geological Survey Unmanned Aircraft Systems (UAS) Roadmap 2014. Open-File Report 2015-1032. U.S. Geological Survey, Reston, VA.",,,,
"Cristescu, R.H., R. Gardiner, J. Terraube, K. Mcdonald, D. Powell, A.L. Levengood, and C.H. Frere",2021,Difficulties of assessing the impacts of the 2019–2020 bushfires on koalas,Austral Ecology,,Mammals,Phascolarctidae,"koala, Phascolarctos cinereus","species detection, Australia","Cristescu, R.H., R. Gardiner, J. Terraube, K. Mcdonald, D. Powell, A.L. Levengood, and C.H. Frere. 2021. Difficulties of assessing the impacts of the 2019–2020 bushfires on koalas. Austral Ecology https://doi.org/10.1111/aec.13120.",quadcopter,DJI Matrice 100 ,Zenmuse XT thermal camera,
"Crumley, B.",2022,Ocean Alliance flying DJI M210 drones for aerial tagging of whales,DroneDJ.com,,Marine mammals,,,radiotracking,"Crumley, B. 2022. Ocean Alliance flying DJI M210 drones for aerial tagging of whales. DroneDJ https://dronedj.com/2022/04/25/ocean-alliance-flying-dji-m210-drones-for-aerial-tagging-of-whales/. ",,DJI M210,,
"Crumley, B.",2023,Washington state to fly drones in endangered mini-rabbit count,DroneDJ.com,,Mammals,Leporidae,"pygmy rabbit, Brachylagus idahoensis","species detection, population estimate, Washington","Crumley, B. 2023. Washington state to fly drones in endangered mini-rabbit count. https://dronedj.com/2023/01/13/washington-state-to-fly-drones-in-endangered-mini-rabbit-count/. January 13.",,,,
